who,tick,start-x,start-y,end-x,end-y,total-distance,straight-line,efficiency
who,tick,start-x,start-y,end-x,end-y,total-distance,straight-line,efficiency
4,98,0,0,-14.96154514509242,-15.414209194567375,28,21.48128669848536,0.7671888106601914
4,112,0,0,-14.96154514509242,-15.414209194567375,28,21.48128669848536,0.7671888106601914
8,112,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
4,143,0,0,-14.96154514509242,-15.414209194567375,29,21.48128669848536,0.740734024085702
18,143,0,0,-14.96154514509242,-15.414209194567375,28,21.48128669848536,0.7671888106601914
8,143,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
10,143,0,0,-15.169488526505475,-15.074285345810974,31,21.3856835486433,0.6898607596336548
18,146,0,0,-14.96154514509242,-15.414209194567375,28,21.48128669848536,0.7671888106601914
10,146,0,0,-15.169488526505475,-15.074285345810974,31,21.3856835486433,0.6898607596336548
4,146,0,0,-14.96154514509242,-15.414209194567375,29,21.48128669848536,0.740734024085702
2,146,0,0,-14.820168506497344,-15.293006974233915,22,21.295855391952276,0.9679934269069217
8,146,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
8,165,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
19,165,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
2,165,0,0,-14.820168506497344,-15.293006974233915,23,21.295855391952276,0.9259067561718382
18,165,0,0,-14.96154514509242,-15.414209194567375,28,21.48128669848536,0.7671888106601914
10,165,0,0,-15.169488526505475,-15.074285345810974,35,21.3856835486433,0.6110195299612371
14,165,0,0,-14.72579550072279,-15.099907755869928,33,21.09161604441178,0.6391398801336903
4,165,0,0,-14.96154514509242,-15.414209194567375,36,21.48128669848536,0.59670240829126
2,191,0,0,-14.820168506497344,-15.293006974233915,32,21.295855391952276,0.6654954809985086
23,191,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
19,191,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
10,191,0,0,-15.169488526505475,-15.074285345810974,40,21.3856835486433,0.5346420887160825
4,191,0,0,-14.96154514509242,-15.414209194567375,52,21.48128669848536,0.4131016672785646
21,191,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
8,191,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
6,191,0,0,-14.947178642268408,-14.738350840356507,30,20.99135857578833,0.6997119525262776
18,191,0,0,-14.96154514509242,-15.414209194567375,28,21.48128669848536,0.7671888106601914
14,191,0,0,-14.72579550072279,-15.099907755869928,42,21.09161604441178,0.5021813343907566
1,254,0,0,14.806073189853203,15.200162194431377,38,21.219442359315448,0.5584063778767223
4,254,0,0,-14.96154514509242,-15.414209194567375,73,21.48128669848536,0.2942642013491145
23,254,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
6,254,0,0,-14.947178642268408,-14.738350840356507,50,20.99135857578833,0.4198271715157666
28,254,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
19,254,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
14,254,0,0,-14.72579550072279,-15.099907755869928,68,21.09161604441178,0.3101708241825262
29,254,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
8,254,0,0,15.251179941082452,14.788744507953043,28,21.24395099120658,0.7587125354002351
2,254,0,0,-14.820168506497344,-15.293006974233915,58,21.295855391952276,0.3671699205509013
21,254,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
25,254,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
18,254,0,0,-14.96154514509242,-15.414209194567375,28,21.48128669848536,0.7671888106601914
26,254,0,0,-14.820168506497344,-15.293006974233915,41,21.295855391952276,0.5194111071207872
10,254,0,0,-15.169488526505475,-15.074285345810974,49,21.3856835486433,0.4364425214008837
8,261,0,0,15.251179941082452,14.788744507953043,30,21.24395099120658,0.708131699706886
25,261,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
29,261,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
19,261,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
14,261,0,0,-14.72579550072279,-15.099907755869928,71,21.09161604441178,0.29706501471002505
4,261,0,0,-14.96154514509242,-15.414209194567375,74,21.48128669848536,0.29028765808764
10,261,0,0,-15.169488526505475,-15.074285345810974,51,21.3856835486433,0.4193271284047706
28,261,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
6,261,0,0,-14.947178642268408,-14.738350840356507,53,20.99135857578833,0.39606336935449676
23,261,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
1,261,0,0,14.806073189853203,15.200162194431377,38,21.219442359315448,0.5584063778767223
18,261,0,0,-14.96154514509242,-15.414209194567375,28,21.48128669848536,0.7671888106601914
5,261,0,0,15.388048995228814,15.028833014022727,48,21.509483342073608,0.4481142362932002
2,261,0,0,-14.820168506497344,-15.293006974233915,58,21.295855391952276,0.3671699205509013
21,261,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
26,261,0,0,-14.820168506497344,-15.293006974233915,41,21.295855391952276,0.5194111071207872
1,264,0,0,14.806073189853203,15.200162194431377,41,21.219442359315448,0.5175473746174499
26,264,0,0,-14.820168506497344,-15.293006974233915,41,21.295855391952276,0.5194111071207872
21,264,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
23,264,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
14,264,0,0,-14.72579550072279,-15.099907755869928,72,21.09161604441178,0.2929391117279414
19,264,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
6,264,0,0,-14.947178642268408,-14.738350840356507,54,20.99135857578833,0.3887288625145987
10,264,0,0,-15.169488526505475,-15.074285345810974,51,21.3856835486433,0.4193271284047706
4,264,0,0,-14.96154514509242,-15.414209194567375,75,21.48128669848536,0.28641715597980477
29,264,0,0,15.251179941082452,14.788744507953043,27,21.24395099120658,0.7868129996743178
2,264,0,0,-14.820168506497344,-15.293006974233915,58,21.295855391952276,0.3671699205509013
13,264,0,0,-14.587363959985023,-14.96234810062352,73,20.896484105832307,0.2862532069292097
