who,tick,start-x,start-y,end-x,end-y,total-distance,straight-line,efficiency
who,tick,start-x,start-y,end-x,end-y,total-distance,straight-line,efficiency
7,106,0,0,-14.8384028630434,-15.331853708229328,28,21.33644622837927,0.7620159367278311
7,130,0,0,-14.8384028630434,-15.331853708229328,28,21.33644622837927,0.7620159367278311
3,130,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
4,135,0,0,-15.127197838002036,-15.49813705005211,34,21.656970389513198,0.6369697173386235
3,135,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
7,135,0,0,-14.8384028630434,-15.331853708229328,28,21.33644622837927,0.7620159367278311
18,208,0,0,-14.8384028630434,-15.331853708229328,31,21.33644622837927,0.6882724589799765
23,208,0,0,-15.127197838002036,-15.49813705005211,54,21.656970389513198,0.40105500721320736
7,208,0,0,-14.8384028630434,-15.331853708229328,60,21.33644622837927,0.3556074371396545
22,208,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
1,208,0,0,-14.973863911418432,-15.066559765892217,50,21.241888419273874,0.4248377683854775
20,208,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
3,208,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
4,208,0,0,-15.127197838002036,-15.49813705005211,55,21.656970389513198,0.39376309799114906
25,208,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
20,217,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
23,217,0,0,-15.127197838002036,-15.49813705005211,54,21.656970389513198,0.40105500721320736
25,217,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
7,217,0,0,-14.8384028630434,-15.331853708229328,61,21.33644622837927,0.34977780702261096
22,217,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
18,217,0,0,-14.8384028630434,-15.331853708229328,31,21.33644622837927,0.6882724589799765
1,217,0,0,-14.973863911418432,-15.066559765892217,52,21.241888419273874,0.4084978542168053
4,217,0,0,-15.127197838002036,-15.49813705005211,59,21.656970389513198,0.3670672947375118
3,217,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
5,217,0,0,-14.924410106853491,-15.318651894483219,49,21.386891146258375,0.4364671662501709
25,218,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
22,218,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
5,218,0,0,-14.924410106853491,-15.318651894483219,49,21.386891146258375,0.4364671662501709
20,218,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
18,218,0,0,-14.8384028630434,-15.331853708229328,31,21.33644622837927,0.6882724589799765
23,218,0,0,-15.127197838002036,-15.49813705005211,54,21.656970389513198,0.40105500721320736
4,218,0,0,-15.127197838002036,-15.49813705005211,59,21.656970389513198,0.3670672947375118
15,218,0,0,15.325442069453713,14.519637624088807,28,21.11134887587804,0.7539767455670728
